被邀请人电话,邀请人电话,奖励类型名称,邀请时间,是否处理
,18544565522,13413452458,,"2018-07-14 14:25:00",未发放
,18454545766,13413452458,,"2018-07-14 14:21:25",未发放
,18133333333,15222222222,,"2018-07-14 11:03:09",未发放
,15584377432,15326586544,,"2018-07-13 18:25:01",未发放
,18454545754,13413452458,,"2018-07-13 15:49:07",未发放
,15945451452,13413452458,,"2018-07-13 15:48:50",未发放
,13645585445,13413452458,,"2018-07-13 15:48:15",未发放
,13646668558,13413452458,,"2018-07-13 15:47:59",未发放
,13169888674,13413452458,,"2018-07-13 15:42:46",未发放
,13169882587,13413452458,,"2018-07-13 15:42:31",未发放
,13169882556,13413452458,,"2018-07-13 15:41:50",未发放
,15895525871,13413452458,,"2018-07-13 15:09:16",未发放
,15895525876,13413452458,,"2018-07-13 15:08:33",未发放
,15895525874,13413452458,,"2018-07-13 15:07:56",未发放
,18938880005,18938880001,,"2018-07-12 17:11:24",未发放
,18938880004,18938880001,,"2018-07-12 17:09:15",未发放
,18777777777,13413452458,,"2018-07-12 13:58:23",未发放
,13967392929,16677777788,,"2018-07-12 10:41:18",未发放
,13000001111,13000000000,,"2018-07-11 16:38:05",未发放
,18938880001,18938880003,,"2018-07-11 14:25:52",未发放
,19916844431,13413452458,,"2018-07-11 14:11:43",未发放
,13344444444,13300000000,,"2018-07-11 12:02:30",未发放
